
Balance de criminalidad. 2020 - 1er Trimestre - Capitales de provincia, municipios mayores de 30.000 habitantes e islas
Indicadores de seguridad 2020 - 1er Trimestre por geografía,  tipología penal y periodos.
Unidades: Hechos conocidos

;1.-Homicidios dolosos y asesinatos consumados;;2.-Homicidios dolosos y asesinatos en grado tentativa;;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;;4.-Secuestro;;5.-Delitos contra la libertad e indemnidad sexual;;5.1.-Agresión sexual con penetración;;5.2.-Resto de delitos contra la libertad e indemnidad sexual;;6.-Robos con violencia e intimidación;;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;;7.1.-Robos con fuerza en domicilios;;8.-Hurtos;;9.-Sustracciones de vehículos;;10.-Tráfico de drogas;;Resto de infracciones penales;;TOTAL INFRACCIONES PENALES;;
;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;
MADRID (COMUNIDAD DE);10.0;11.0;15.0;19.0;598.0;576.0;3.0;2.0;539.0;502.0;56.0;58.0;483.0;444.0;3485.0;3406.0;4762.0;4185.0;2860.0;2149.0;40491.0;34331.0;2128.0;1822.0;650.0;615.0;50329.0;46335.0;103010.0;91804.0;
- Municipio de Alcalá de Henares;1.0;0.0;0.0;1.0;18.0;10.0;0.0;1.0;10.0;12.0;1.0;0.0;9.0;12.0;42.0;45.0;109.0;65.0;66.0;26.0;692.0;533.0;71.0;49.0;10.0;12.0;1504.0;1345.0;2457.0;2073.0;
- Municipio de Alcobendas;0.0;0.0;1.0;1.0;9.0;7.0;0.0;0.0;6.0;10.0;0.0;2.0;6.0;8.0;22.0;24.0;111.0;66.0;51.0;28.0;317.0;246.0;68.0;48.0;5.0;3.0;768.0;700.0;1307.0;1105.0;
- Municipio de Alcorcón;0.0;0.0;1.0;0.0;10.0;11.0;0.0;0.0;8.0;8.0;4.0;1.0;4.0;7.0;44.0;78.0;60.0;60.0;37.0;19.0;613.0;544.0;35.0;34.0;15.0;4.0;1040.0;864.0;1826.0;1603.0;
- Municipio de Aranjuez;0.0;0.0;0.0;0.0;4.0;5.0;0.0;0.0;6.0;0.0;1.0;0.0;5.0;0.0;7.0;9.0;31.0;29.0;18.0;19.0;152.0;135.0;20.0;5.0;4.0;7.0;416.0;381.0;640.0;571.0;
- Municipio de Arganda del Rey;0.0;0.0;0.0;0.0;8.0;10.0;0.0;0.0;3.0;2.0;0.0;1.0;3.0;1.0;11.0;15.0;36.0;52.0;17.0;22.0;101.0;96.0;7.0;4.0;2.0;4.0;422.0;468.0;590.0;651.0;
- Municipio de Arroyomolinos;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;5.0;2.0;1.0;1.0;4.0;1.0;10.0;10.0;28.0;29.0;21.0;14.0;415.0;363.0;16.0;19.0;0.0;0.0;266.0;251.0;740.0;676.0;
- Municipio de Boadilla del Monte;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;4.0;3.0;0.0;0.0;4.0;3.0;4.0;8.0;25.0;24.0;20.0;20.0;95.0;61.0;2.0;3.0;0.0;1.0;236.0;205.0;367.0;308.0;
- Municipio de Colmenar Viejo;0.0;0.0;0.0;0.0;5.0;10.0;0.0;0.0;6.0;5.0;0.0;0.0;6.0;5.0;15.0;19.0;36.0;26.0;25.0;16.0;126.0;128.0;1.0;1.0;1.0;1.0;301.0;270.0;491.0;460.0;
